,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
25650,394,0.022654596000393212,5.0,25715.0,31,1000,31
25651,395,0.02275086600002396,5.0,25716.0,31,1000,31
25652,396,0.022848800000247138,5.0,25717.0,31,1000,31
25653,397,0.022947215000385768,5.0,25718.0,31,1000,31
25654,398,0.023046150000482157,5.0,25719.0,31,1000,31
25655,399,0.023144114000388072,5.0,25720.0,31,1000,31
25656,400,0.023243229999934556,5.0,25721.0,31,1000,31
25657,401,0.023343838999608124,5.0,25722.0,31,1000,31
25658,402,0.023445840000022145,5.0,25723.0,31,1000,31
25659,403,0.02354498600016086,5.0,25724.0,31,1000,31
25660,404,0.023645524999665213,5.0,25725.0,31,1000,31
25661,405,0.023738359000162745,5.0,25726.0,31,1000,31
25662,406,0.023833055999602948,5.0,25727.0,31,1000,31
25663,407,0.023937171999932616,5.0,25728.0,31,1000,31
25664,408,0.024041456999839284,5.0,25729.0,31,1000,31
25665,409,0.024149609999767563,5.0,25730.0,31,1000,31
25666,410,0.024256050000076357,5.0,25731.0,31,1000,31
25667,411,0.02436275000036403,5.0,25732.0,31,1000,31
25668,412,0.02446899900041899,5.0,25733.0,31,1000,31
25669,413,0.02456879600049433,5.0,25734.0,31,1000,31
25670,414,0.024669505000019853,5.0,25735.0,31,1000,31
25671,415,0.02477989199996955,5.0,25736.0,31,1000,31
25672,416,0.02488770400032081,5.0,25737.0,31,1000,31
25673,417,0.024995777000185626,5.0,25738.0,31,1000,31
25674,418,0.02510338899992348,5.0,25739.0,31,1000,31
25675,419,0.02520717399966088,5.0,25740.0,31,1000,31
25676,420,0.02531351299967355,5.0,25741.0,31,1000,31
25677,421,0.025423850000152015,5.0,25742.0,31,1000,31
25678,422,0.02553302500018617,5.0,25743.0,31,1000,31
25679,423,0.025642851000156952,5.0,25744.0,31,1000,31
25680,424,0.025736315999893122,5.0,25745.0,31,1000,31
25681,425,0.02584084200043435,5.0,25746.0,31,1000,31
25682,426,0.02594380499976978,5.0,25747.0,31,1000,31
25683,427,0.02602991700041457,5.0,25748.0,31,1000,31
25684,428,0.02611492600044585,5.0,25749.0,31,1000,31
25685,429,0.02620127800037153,5.0,25750.0,31,1000,31
25686,430,0.02629139800046687,5.0,25751.0,31,1000,31
25687,431,0.02638314999967406,5.0,25752.0,31,1000,31
25688,432,0.026474711000446405,5.0,25753.0,31,1000,31
25689,433,0.026566012999865052,5.0,25754.0,31,1000,31
25690,434,0.026663065000320785,5.0,25755.0,31,1000,31
25691,435,0.026760407000438136,5.0,25756.0,31,1000,31
25692,436,0.02686539400019683,5.0,25757.0,31,1000,31
25693,437,0.026974067999617546,5.0,25758.0,31,1000,31
25694,438,0.027083504000074754,5.0,25759.0,31,1000,31
25695,439,0.02719128599983378,5.0,25760.0,31,1000,31
25696,440,0.02730308500031242,5.0,25761.0,31,1000,31
25697,441,0.027414684999712335,5.0,25762.0,31,1000,31
25698,442,0.027527416000339144,5.0,25763.0,31,1000,31
25699,443,0.027638044000013906,5.0,25764.0,31,1000,31
25700,444,0.02774207899983594,5.0,25765.0,31,1000,31
25701,445,0.02784198599965748,5.0,25766.0,31,1000,31
25702,446,0.027943416999733017,5.0,25767.0,31,1000,31
25703,447,0.02803468799993425,5.0,25768.0,31,1000,31
25704,448,0.02812960600022052,5.0,25769.0,31,1000,31
25705,449,0.02822940300029586,5.0,25770.0,31,1000,31
25706,450,0.028331804999652377,5.0,25771.0,31,1000,31
25707,451,0.028433907000362524,5.0,25772.0,31,1000,31
25708,452,0.028538303000459564,5.0,25773.0,31,1000,31
25709,453,0.028644081000493316,5.0,25774.0,31,1000,31
25710,454,0.028744520000145712,5.0,25775.0,31,1000,31
25711,455,0.028848044000369555,5.0,25776.0,31,1000,31
25712,456,0.028950345999874116,5.0,25777.0,31,1000,31
25713,457,0.029058097999950405,5.0,25778.0,31,1000,31
25714,458,0.02917550799975288,5.0,25779.0,31,1000,31
